destination country,destination city,description,time,year,year_aggregate
Denmark,"St. Thomas, St. Croix, Frederikstadt, Christianstadt (Virgin Islands)",Met with Danish colonial officials during a working vacation. Also met with former Mexican President Santa Anna. Departed from Washington January 1.,"January 9–12, 1866",1866,1870
Dominican Republic,Santo Domingo,Met with President Baez and his Cabinet.,"January 14, 1866",1866,1870
Haiti,Port-au-Prince,Met with President Geffrand and his Cabinet.,"January 16–17, 1866",1866,1870
Italy,"Genoa, Nervi",Vacation trip for health reasons. Left U.S. March 17.,"April 3–29, 1905",1905,1905
Germany,Nauheim,Vacation trip for health reasons.,"April 30–May 21, 1905",1905,1905
France,Paris,Vacation trip for health reasons.,"May 22–June 1, 1905",1905,1905
United Kingdom,"Newfoundland, Labrador",Gathered information on the fisheries question during a vacation trip.,"August 1–31, 1905",1905,1905
Brazil,"Para, Pernambuco, Bahia, Rio de Janeiro, Sao Paulo, Santos",Attended Third International Conference of American States. Left U.S. July 4.,"July 17–August 7, 1906",1906,1910
Uruguay,Montevideo,Met with President Batlle y Ordonez and Foreign Minister Romeu; delivered several public addresses.,"August 10–13, 1906",1906,1910
Argentina,"Buenos Aires, Bahia Blanca",Met with President Figueroa and Foreign Minister Montes; delivered several public addresses.,"August 14–21, 1906",1906,1910
Chile,"Lota, Santiago, Valparaiso",Met with President Riesco and Foreign Minister Huneeus; delivered several public addresses.,"August 31–September 4, 1906",1906,1910
Peru,"Callao, Lima",Met with President Pardo and Foreign Minister Prado; delivered several public addresses.,"September 10–16, 1906",1906,1910
Panama,Panama City,Met with President Amador and addressed the National Assembly.,"September 20–21, 1906",1906,1910
Colombia,Cartagena,Met with Foreign Minister Vasquez-Cobo.,"September 24, 1906",1906,1910
Canada,"Montreal, Ottawa",Official visit at the invitation of the Governor-General.,"January 18–22, 1907",1907,1910
Panama,"Colon, Panama City",Met with President Chiari and Foreign Minister Arjona. Left U.S. February 23.,"February 27–29, 1912",1912,1915
Costa Rica,"Limon, San Jose, Puntarenas",Met with President Jimenez and Foreign Minister Castro Quesada.,"March 1–4, 1912",1912,1915
Nicaragua,"Corinto, Managua",Met with President Diaz and Foreign Minister Chamorro; addressed the National Assembly.,"March 5–7, 1912",1912,1915
Honduras,Amapala,Met with Foreign Minister Vasquez.,"March 8–9, 1912",1912,1915
El Salvador,"Acajutla, San Salvador",Met with President Araujo and Foreign Minister Castro Ramirez.,"March 10–13, 1912",1912,1915
Guatemala,"San Jose, Guatemala City, Quirigua, Puerto Barrios",Met with President Estrada Cabrera and Foreign Minister Toledo Herrarte; addressed the Legislature.,"March 14–17, 1912",1912,1915
Venezuela,"La Guaira, Caracas, Porto Cabello",Met with President Gomez and Foreign Minister Matos; delivered several public addresses.,"March 22–25, 1912",1912,1915
Dominican Republic,Santo Domingo,Met with President Victoria.,"March 27–28, 1912",1912,1915
Denmark,St. Thomas,Met with Danish colonial (Virgin Islands) officials.,"March 30, 1912",1912,1915
Haiti,Port-au-Prince,Met with President Leconte and Foreign Minister Leger.,"April 3–4, 1912",1912,1915
Cuba,"Guantanamo, Santiago, Havana",Met with President Gomez and Secretary of State Sanguily; returned to U.S. April 16.,"April 5–13, 1912",1912,1915
United Kingdom,"Kingston, Port Antonio",Met with British colonial officials during unofficial (Jamaica) visit.,"April 8, 1912",1912,1915
United Kingdom,Bridgetown (Barbados),Met with British colonial officials during a refueling stop en route to South America. Left U.S. December 4.,"December 10, 1920",1920,1920
Brazil,Rio de Janeiro,Official visit; repaid visit by President Pessoa.,"December 21–24, 1920",1920,1920
Uruguay,Montevideo,Official visit; repaid 1918 visit by President (then Foreign Minister) Brum.,"December 28–31, 1920",1920,1920
Argentina,Buenos Aires,Official visit.,"January 1–4, 1921",1921,1925
United Kingdom,Bermuda,Vacation. Left U.S. February 15; returned March 6.,"February 17–March 4, 1922",1922,1925
Brazil,Rio de Janeiro,U.S. Special Mission to Brazil. Attended ceremonies commemorating centenary of Brazilian independence. Left U.S. August 24; returned September 23.,"September 5–12, 1922",1922,1925
Canada,Montreal,Addressed meeting of Canadian Bar Association.,"September 4–6, 1923",1923,1925
United Kingdom,London,"As President of the American Bar Association, attended an international law convention. Left U.S. July 12.","July 19–28, 1924",1924,1925
France,Paris,Visited with French international lawyers.,"July 28–31, 1924",1924,1925
Belgium,"Brussels, Malines",Received honorary degrees from the Universities of Brussels and Louvain.,"July 31–August 2, 1924",1924,1925
Canada,Ft. Erie,"Attended dedication of the ""Peace Bridge"" between Buffalo, New York and Ft. Erie.","August 7, 1927",1927,1930
Cuba,Havana,Attended the Sixth International Conference of American States with President Coolidge. Left U.S. January 14; returned January 20.,"January 15–17, 1928",1928,1930
Canada,Ottawa,Official visit.,"February 8–10, 1928",1928,1930
France,Paris,Negotiated and signed the Treaty on the Renunciation of War (Kellogg-Briand Pact). Left U.S. August 19.,"August 24–29, 1928",1928,1930
Ireland,"Kingstown, Dublin",Official visit while returning from Paris.,"August 30–September 3, 1928",1928,1930
United Kingdom,London,Attended the London Naval Conference. Left U.S. January 8; returned April 30.,"January 25–April 22, 1930",1930,1930
Canada,Toronto,Dedicated the Peace Monument during an unofficial visit.,"June 12–14, 1930",1930,1930
Italy,Rome,Discussed the European debt crisis and disarmament with Prime Minister Mussolini and Foreign Minister Grandi. Left U.S. June 27.,"July 9–14, 1931",1931,1935
France,Paris,Met with Premier Laval and Finance Minister Flandin.,"July 15–19, 1931",1931,1935
United Kingdom,London,Attended conference on the German economic crisis.,"July 19–24, 1931",1931,1935
Germany,Berlin,Met with President von Hindenburg and senior German officials.,"July 25–27, 1931",1931,1935
Netherlands,The Hague,Met with Dutch officials.,"July 27, 1931",1931,1935
United Kingdom,"London, Rogart",Met with Prime Minister MacDonald; vacationed in Scotland. Returned to U.S. September 3.,"July 28–August 28, 1931",1931,1935
United Kingdom,London,Chairman of U.S. Delegation to the Monetary and Economic Conference. Left U.S. May 31; returned August 1.,"June 8–July 27, 1933",1933,1935
Brazil,"Rio de Janeiro, Sao Paulo, Santos",Met with President Vargas and Foreign Minister de Mello Franco en route to Inter-American Conference in Montevideo. Delivered several public addresses. Left U.S. November 17.,"November 24–25, 1933",1933,1935
Uruguay,Montevideo,Attended 7th International Conference of American States.,"November 28–December 26, 1933",1933,1935
Argentina,Buenos Aires,Met with President Justo and addressed the American Club. Toured Argentine Lakes District en route to Chile.,"December 27–31, 1933",1933,1935
Chile,"Santiago, Valparaiso, Antofagasta","Met with President Alessandri, addressed the Senate, and delivered several public addresses.","January 1–8, 1934",1934,1935
Peru,"Mollendo, Callao, Lima, Talara",Met with President Benvenidez and Foreign Minister Solon Polo and delivered several public addresses.,"January 9–13, 1934",1934,1935
Ecuador,"La Libertad, Manta, Bahia",Met with Ecuadorean officials and delivered public addresses.,"January 13–14, 1934",1934,1935
Colombia,Buenaventura,Met with Colombian officials and delivered public addresses.,"January 15, 1934",1934,1935
Panama,Panama City,Met with President Arias and Foreign Minister Arosemena. Returned to U.S. January 19.,"January 17, 1934",1934,1935
Brazil,"Rio de Janeiro, Santos",Met with President Vargas and Foreign Minister Macedo Soares en route to Inter-American Conference for the Maintenance of Peace. Left U.S. November 7.,"November 19–21, 1936",1936,1940
Uruguay,Montevideo,Met with President Terra and delivered a public address.,"November 24, 1936",1936,1940
Argentina,Buenos Aires,Attended Inter-American Conference for the Maintenance of Peace.,"November 25–December 26, 1936",1936,1940
Brazil,"Santos, Rio de Janeiro",Met with President Vargas and delivered public addresses while returning to U.S.,"December 29–31, 1936",1936,1940
United Kingdom,Port of Spain (Trinidad),"Stopped while returning to to U.S. Returned January 13, 1937.","January 8, 1937",1937,1940
Canada,Toronto,Returned visit by Prime Minister Mackenzie King.,"October 22–23, 1937",1937,1940
Panama,Panama City,Met with President Arosemena and addressed a conference of Foreign Service officers while en route to conference in Lima. Left U.S. November 25.,"November 30–December 1, 1938",1938,1940
Colombia,Buenaventura,Delivered a public address en route to conference in Lima.,"December 2, 1938",1938,1940
Ecuador,Guayaquil,Delivered a public address en route to conference in Lima.,"December 4, 1938",1938,1940
Peru,"Callao, Lima",Attended 8th International Conference of American States.,"December 7–27, 1938",1938,1940
Ecuador,Guayaquil,Delivered a public address while returning to U.S.,"December 30, 1938",1938,1940
Colombia,Buenaventura,Delivered a public address while returning to U.S.,"January 1, 1939",1939,1940
Panama,Panama City,"Met with President Arosemena. Returned to U.S. January 9, 1939.","January 3, 1939",1939,1940
Cuba,Havana,Attended Conference of American States. Left U.S. July 19; returned August 1.,"July 20–30, 1940",1940,1940
Canada,Quebec,Attended Quebec Conference with President Roosevelt.,"August 20–24, 1943",1943,1945
Morocco,Casablanca,Disembarked en route to Moscow Conference. Left U.S. October 7.,"October 15, 1943",1943,1945
France,Algiers (Algeria),Met with Generals Eisenhower and De Gaulle.,"October 15, 1943",1943,1945
Egypt,Cairo,"Met with King Farouk, King George of Greece and King Peter of Yugoslavia.","October 16, 1943",1943,1945
Iran,Tehran,Met with Shah Mohammed Reza Pahlavi and with British Foreign Secretary Eden.,"October 17, 1943",1943,1945
Morocco,Marrakesh,Preparations for the Malta and Yalta Conferences. Left U.S. January 25.,"January 26–30, 1945",1945,1945
Italy,Naples,Discussed postwar issues and policy toward Italy with Presidential adviser Harry Hopkins.,"January 30–31, 1945",1945,1945
United Kingdom,Malta,Attended the Malta Conference.,"January 31–February 2, 1945",1945,1945
U.S.S.R.,"Yalta, Moscow",Accompanied President Roosevelt to the Crimea Conference. Met afterward (February 11-14) with Soviet Foreign Minister Molotov.,"February 3–14, 1945",1945,1945
Egypt,"Cairo, Alexandria",Met with Haile Selassie; conferred with President Roosevelt.,"February 14–15, 1945",1945,1945
Liberia,Monrovia,Met with President Tubman.,"February 16–17, 1945",1945,1945
Brazil,Rio de Janeiro,Met with President Vargas.,"February 17–19, 1945",1945,1945
Guatemala,Guatemala City,Met with the Presidential Triumvirate and Secretary of Foreign Relations Munoz Meany.,"February 20, 1945",1945,1945
Mexico,Chapultepec,Attended Inter-American Conference on the Problems of War and Peace.,"February 20–March 8, 1945",1945,1945
Belgium,"Antwerp, Brussels",Disembarked en route to the Potsdam Conference. Left U.S. July 6.,"July 15, 1945",1945,1945
Germany,Potsdam,Accompanied President Truman to the Tripartite Conference of Berlin (Potsdam Conference).,"July 17–25, 1945",1945,1945
United Kingdom,Plymouth,Accompanied President Truman to a meeting with King George VI. Returned to U.S. August 7.,"August 2, 1945",1945,1945
United Kingdom,London,Attended Council of Foreign Ministers meeting.,"September 5–October 3, 1945",1945,1945
U.S.S.R.,Moscow,Ministers meeting. Left U.S. December 12; returned December 29.,"December 14–27, 1945",1945,1945
United Kingdom,London,Attended first session of the UN General Assembly.,"January 4–26, 1946",1946,1950
France,Paris,Attended Second Session of the Council of Foreign Ministers.,"April 25–May 18, 1946",1946,1950
France,Paris,Attended second part of the Second Session of the Council of Foreign Ministers.,"June 13–July 13, 1946",1946,1950
France,Paris,Met with President Auriol and senior officials. Laid a wreath at the tomb of France's Unknown Soldier. Left U.S. March 5.,"March 6–7, 1947",1947,1950
Germany,West Berlin,Conferred with U.S. military government officials.,"March 7–9, 1947",1947,1950
U.S.S.R.,Moscow,Attended Fourth Session of the Council of Foreign Ministers.,"March 10–April 25, 1947",1947,1950
Germany,West Berlin,Held a press conference while returning to U.S. Returned April 26.,"April 25, 1947",1947,1950
Brazil,Petropolis,Attended Inter-American Conference for the Maintenance of Continental Peace.,"August 15–September 3, 1947",1947,1950
United Kingdom,London,Attended Fifth Session of the Council of Foreign Ministers.,"November 25–December 15, 1947",1947,1950
Colombia,Bogota,Attended Ninth International Conference of American States.,"March 30–April 25, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly. Returned to U.S. October 9-11 to confer with President Truman on the Berlin Crisis.,"September 20–October 9, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly.,"October 12–16, 1948",1948,1950
Greece,Athens,Met with Prime Minister Sophoulis and senior Greek officials.,"October 16–18, 1948",1948,1950
Italy,"Rome, Castel Gandolfo","Met with Prime Minister De Gasperi, Foreign Minister Sforza, and Pope Pius XII.","October 19, 1948",1948,1950
France,Paris,Attended Third Session of the UN General Assembly.,"October 19–29, 1948",1948,1950
United Kingdom,London,Met informally with British officials during a private visit.,"October 29–November 1, 1948",1948,1950
France,Paris,Attended 6th Session of the Council of Foreign Ministers.,"May 20–June 20, 1949",1949,1950
France,Paris,"Met with the Foreign Ministers of the United Kingdom, France, Belgium, Luxembourg, and the Netherlands.","November 9–11, 1949",1949,1950
Germany,"Frankfurt, Bonn",Met with President Heuss and Chancellor Adenauer.,"November 11–13, 1949",1949,1950
Germany,Berlin,Met with West Berlin officials and the commandants of the occupation sectors. Briefly visited East Berlin.,"November 14, 1949",1949,1950
